estacionID,fecha,temp_media,tmax,tmin
LPAMC,08/09/21 0:00,21.7,27.4,16
LPDMC,08/09/21 0:00,22,30,14
LPSMC,08/09/21 0:00,27.5,32,23
LPZMC,08/09/21 0:00,28.5,34,23
MCEMC,08/09/21 0:00,19.5,25,14
MLPMC,08/09/21 0:00,20.25,26.5,14
MNOMC,08/09/21 0:00,19.6,26,13.2
MOCMC,08/09/21 0:00,20,26.5,13.5
MORMC,08/09/21 0:00,19.5,26.5,12.5
ORAMC,08/09/21 0:00,18.5,23,14
PDBMC,08/09/21 0:00,21.25,29.5,13
PORMC,08/09/21 0:00,17,24,10
PUCMC,08/09/21 0:00,15.5,22,9
SAHMC,08/09/21 0:00,18.5,28,9
SCRMC,08/09/21 0:00,18.5,28,9
SJUMC,08/09/21 0:00,20.5,26,15
SSIMC,08/09/21 0:00,20.5,26,15
TEPMC,08/09/21 0:00,15.5,21,10
TMUMC,08/09/21 0:00,15.7,20.3,11.1
UREMC,08/09/21 0:00,16.5,23.5,9.5
VILMC,08/09/21 0:00,28.75,33.5,24
VJIMC,08/09/21 0:00,17.25,23.5,11
YURMC,08/09/21 0:00,23,30,16
ZAMMC,08/09/21 0:00,23.5,34,13
ZICMC,08/09/21 0:00,29,38.5,19.5
ACHMR,08/09/21 0:00,19.2,24.5,14
ALUMR,08/09/21 0:00,23.5,29,18
AMCMR,08/09/21 0:00,23.5,29,18
AMIMR,08/09/21 0:00,25,33,17
APAMR,08/09/21 0:00,23.2,27.5,19
ATLMR,08/09/21 0:00,19,24,14
CASMR,08/09/21 0:00,23,29,17
CBTMR,08/09/21 0:00,12.5,15.5,9.5
CUAMR,08/09/21 0:00,21,27,15
CUEMR,08/09/21 0:00,20,25,15
ELPMR,08/09/21 0:00,21.5,30,13
HUAMR,08/09/21 0:00,25,30,20
HUEMR,08/09/21 0:00,17,22,12
HUIMR,08/09/21 0:00,12,17,7
HUTMR,08/09/21 0:00,23,29,17
HUXMR,08/09/21 0:00,16,20,12
JNCMR,08/09/21 0:00,22.2,26.5,18
JOJMR,08/09/21 0:00,25.5,31,20
LCUMR,08/09/21 0:00,22,25,19
MYOMR,08/09/21 0:00,23,28,18
NEXMR,08/09/21 0:00,26,32,20
OACMR,08/09/21 0:00,24.5,31,18
OAXMR,08/09/21 0:00,20.5,24,17
OBSMR,08/09/21 0:00,19.5,24,15
